学校名称,学校标识码,主管部门,所在地,办学层次,备注,en-name(baidu),en-name(youdao)
晋中师范高等专科学校,4114014270,山西省,晋中市,专科,,Jinzhong Teachers College,Jinzhong normal college
阳泉师范高等专科学校,4114014271,山西省,阳泉市,专科,,Yangquan Teachers College,Yangquan normal college
山西青年职业学院,4114014336,山西省,太原市,专科,,Shanxi Youth Vocational College,Shanxi youth vocational college
运城护理职业学院,4114014397,山西省,运城市,专科,,Yuncheng Vocational College of Nursing,Yuncheng nursing vocational college
运城师范高等专科学校,4114014461,山西省,运城市,专科,,Yuncheng Teachers College,Yuncheng teachers' college
朔州师范高等专科学校,4114014462,山西省,朔州市,专科,,Shuozhou Teachers College,It is mined here normal college
吕梁职业技术学院,4114014500,山西省,吕梁市,专科,,Lvliang Vocational and Technical College,Luliang vocational and technical college
内蒙古大学,4115010126,内蒙古自治区,呼和浩特市,本科,,Inner Mongolia University,Inner Mongolia university
内蒙古科技大学,4115010127,内蒙古自治区,包头市,本科,,Inner Mongolia University of Science and Technology,Inner Mongolia university of science and technology
内蒙古工业大学,4115010128,内蒙古自治区,呼和浩特市,本科,,Inner Mongolia University of Technology,Inner Mongolia university of technology
内蒙古农业大学,4115010129,内蒙古自治区,呼和浩特市,本科,,Inner Mongolia Agricultural University,Inner Mongolia agricultural university
内蒙古医科大学,4115010132,内蒙古自治区,呼和浩特市,本科,,Inner Mongolia Medical University,Inner Mongolia medical university
内蒙古师范大学,4115010135,内蒙古自治区,呼和浩特市,本科,,Inner Mongolia Normal University,Inner Mongolia normal university
内蒙古民族大学,4115010136,内蒙古自治区,通辽市,本科,,Inner Mongolia University for Nationalities,Inner Mongolia university for nationalities
赤峰学院,4115010138,内蒙古自治区,赤峰市,本科,,Chifeng University,Chifeng institute
内蒙古财经大学,4115010139,内蒙古自治区,呼和浩特市,本科,,Inner Mongolia University of Finance and Economics,Inner Mongolia university of finance and economics
呼伦贝尔学院,4115010819,内蒙古自治区,呼伦贝尔市,本科,,Hulunbuir College,Hulun buir college
集宁师范学院,4115011427,内蒙古自治区,乌兰察布市,本科,,Jining Normal University,JiNing normal college
河套学院,4115011631,内蒙古自治区,巴彦淖尔市,本科,,Hetao College,Hetao college
呼和浩特民族学院,4115011709,内蒙古自治区,呼和浩特市,本科,,Hohhot College for Nationalities,Hohhot institute for nationalities
内蒙古大学创业学院,4115014199,内蒙古自治区教育厅,呼和浩特市,本科,民办,"College of Entrepreneurship, Inner Mongolia University",Inner Mongolia university business school
内蒙古师范大学鸿德学院,4115014205,内蒙古自治区教育厅,呼和浩特市,本科,民办,"Hongde College, Inner Mongolia Normal University",Hong DE college of Inner Mongolia normal university
内蒙古艺术学院,4115014531,内蒙古自治区,呼和浩特市,本科,,Inner Mongolia Art Institute,Art institute of Inner Mongolia
鄂尔多斯应用技术学院,4115014532,内蒙古自治区,鄂尔多斯市,本科,,Ordos Institute of Applied Technology,Ordos applied technology institute
内蒙古建筑职业技术学院,4115010871,内蒙古自治区,呼和浩特市,专科,,inner mongolia technical college of construction,Inner Mongolia construction vocational and technical college
内蒙古丰州职业学院,4115011429,内蒙古自治区教育厅,呼和浩特市,专科,民办,Fengzhou Vocational College of Inner Mongolia,Abundant state vocational college of Inner Mongolia
包头职业技术学院,4115012057,内蒙古自治区,包头市,专科,,Baotou Vocational & Technical College,Baotou vocational and technical college
兴安职业技术学院,4115012443,内蒙古自治区,兴安盟,专科,,Xing'an Vocational and Technical College,Utilize modern vocational and technical college
呼和浩特职业学院,4115012670,内蒙古自治区,呼和浩特市,专科,,Hohhot Vocational College,Hohhot vocational college
包头轻工职业技术学院,4115012671,内蒙古自治区,包头市,专科,,Baotou Light Industry Vocational Technical College,Baotou light industry professional technology institute
内蒙古电子信息职业技术学院,4115012673,内蒙古自治区,呼和浩特市,专科,,Inner Mongolia Electronic Information Vocational Technical College,Electronic information vocational technology college of Inner Mongolia
内蒙古机电职业技术学院,4115012674,内蒙古自治区,呼和浩特市,专科,,Inner Mongolia Vocational and Technical College of Mechatronics,Mechanical and electrical vocational and technical college of Inner Mongolia
内蒙古化工职业学院,4115012675,内蒙古自治区,呼和浩特市,专科,,Inner Mongolia Vocational College of Chemical Industry,Inner Mongolia chemical vocational college
内蒙古商贸职业学院,4115012676,内蒙古自治区,呼和浩特市,专科,,inner mongolia business vocational college,Inner Mongolia trade vocational college
锡林郭勒职业学院,4115012677,内蒙古自治区,锡林郭勒盟,专科,,Xilinguole Vocational College,Xilingol vocational college
内蒙古警察职业学院,4115012797,内蒙古自治区,呼和浩特市,专科,,Inner Mongolia Police Professional College,The police vocational college of Inner Mongolia
内蒙古体育职业学院,4115012894,内蒙古自治区,呼和浩特市,专科,,Inner Mongolia Sports Vocational College,Sports vocational college of Inner Mongolia
乌兰察布职业学院,4115013699,内蒙古自治区,乌兰察布市,专科,,Ulanqab Vocational College,Wulanchabu vocational college
通辽职业学院,4115013740,内蒙古自治区,通辽市,专科,,Tongliao Vocational College,Tgo vocational college
科尔沁艺术职业学院,4115013741,内蒙古自治区,通辽市,专科,,Horqin Vocational College of Art,Khorchin art vocational college
内蒙古交通职业技术学院,4115013824,内蒙古自治区,赤峰市,专科,,Inner Mongolia Communications Vocational and Technical College,Transportation vocational technical college of Inner Mongolia
包头钢铁职业技术学院,4115013864,内蒙古自治区,包头市,专科,,Baotou Iron and Steel Vocational Technical College,Baotou iron and steel vocational technical college
乌海职业技术学院,4115013915,内蒙古自治区,乌海市,专科,,Wuhai Vocational and Technical College,The wuhai vocational and technical college
内蒙古科技职业学院,4115014048,内蒙古自治区教育厅,呼和浩特市,专科,民办,Inner Mongolia Vocational College of Science and Technology,Science and technology vocational college of Inner Mongolia
内蒙古北方职业技术学院,4115014049,内蒙古自治区教育厅,呼和浩特市,专科,民办,North Inner Mongolia professional technical Institute,Inner Mongolia north vocational and technical college
赤峰职业技术学院,4115014050,内蒙古自治区教育厅,赤峰市,专科,民办,Chifeng Vocational and Technical College,Chifeng vocational and technical college
内蒙古经贸外语职业学院,4115014051,内蒙古自治区教育厅,呼和浩特市,专科,民办,Inner Mongolia Vocational College of Foreign Languages in Economics and Trade,Inner Mongolia economic and trade vocational college of foreign language
包头铁道职业技术学院,4115014187,内蒙古自治区,包头市,专科,,Baotou Railway Vocational and Technical College,Baotou railway vocational and technical college
乌兰察布医学高等专科学校,4115014219,内蒙古自治区,乌兰察布市,专科,,Ulanchab Medical College,Wulanchabu medical college
鄂尔多斯职业学院,4115014248,内蒙古自治区,鄂尔多斯市,专科,,Ordos Vocational College,Ordos vocational college
内蒙古工业职业学院,4115014282,内蒙古自治区教育厅,呼和浩特市,专科,民办,Inner Mongolia Vocational College of Industry,Inner Mongolia industry vocational college
呼伦贝尔职业技术学院,4115014283,内蒙古自治区,呼伦贝尔市,专科,,Hulunbuir Vocational and Technical College,The hulunbuir vocational and technical college
满洲里俄语职业学院,4115014285,内蒙古自治区,呼伦贝尔市,专科,,Manzhouli Russian Vocational College,The manchurian Russian vocational college
内蒙古能源职业学院,4115014337,内蒙古自治区教育厅,呼和浩特市,专科,民办,Inner Mongolia Vocational College of Energy,Inner Mongolia energy vocational college
赤峰工业职业技术学院,4115014338,内蒙古自治区,赤峰市,专科,,Chifeng Industrial Vocational and Technical College,Chifeng industrial vocational and technical college
阿拉善职业技术学院,4115014339,内蒙古自治区,阿拉善盟,专科,,Alashan Vocational and Technical College,La shan vocational and technical college
内蒙古美术职业学院,4115014387,内蒙古自治区教育厅,巴彦淖尔市,专科,民办,Inner Mongolia Vocational College of Fine Arts,Inner Mongolia vocational college of fine arts
内蒙古民族幼儿师范高等专科学校,4115014463,内蒙古自治区,鄂尔多斯市,专科,,Inner Mongolia National Children's Teachers College,Inner Mongolia national infant normal college
鄂尔多斯生态环境职业学院,4115014501,内蒙古自治区,鄂尔多斯市,专科,,Ordos Vocational College of Ecological Environment,Ordos vocational college of ecological environment
扎兰屯职业学院,4115014539,内蒙古自治区,呼伦贝尔市,专科,,Zhalantun Vocational College,Zhalantun vocational college
辽宁大学,4121010140,辽宁省,沈阳市,本科,,Liaoning University,Liaoning university
大连理工大学,4121010141,教育部,大连市,本科,,Dalian University of Technology,Dalian university of technology
沈阳工业大学,4121010142,辽宁省,沈阳市,本科,,Shenyang University of Technology,Shenyang university of technology
沈阳航空航天大学,4121010143,辽宁省,沈阳市,本科,,Shenyang Aerospace University,Shenyang university of aeronautics and astronautics
沈阳理工大学,4121010144,辽宁省,沈阳市,本科,,Shenyang Ligong University,Shenyang university of technology
东北大学,4121010145,教育部,沈阳市,本科,,Northeastern University,Northeastern University
辽宁科技大学,4121010146,辽宁省,鞍山市,本科,,Liaoning University of Science and Technology,Liaoning university of science and technology
辽宁工程技术大学,4121010147,辽宁省,阜新市,本科,,Liaoning University of Engineering and Technology,Liaoning university of engineering science
辽宁石油化工大学,4121010148,辽宁省,抚顺市,本科,,liaoning shihua university,Liaoning university of petroleum chemical industry
沈阳化工大学,4121010149,辽宁省,沈阳市,本科,,Shenyang University of Chemical Technology,Shenyang university of chemical
大连交通大学,4121010150,辽宁省,大连市,本科,,Dalian Jiaotong University,Dalian jiaotong university
大连海事大学,4121010151,交通运输部,大连市,本科,,Dalian Maritime University,Dalian maritime university
大连工业大学,4121010152,辽宁省,大连市,本科,,Dalian Polytechnic University,Dalian university of technology
沈阳建筑大学,4121010153,辽宁省,沈阳市,本科,,Shenyang Jianzhu University,Shenyang architecture university
辽宁工业大学,4121010154,辽宁省,锦州市,本科,,Liaoning University of Technology,Liaoning university of technology
沈阳农业大学,4121010157,辽宁省,沈阳市,本科,,Shenyang Agricultural University,Shenyang agricultural university
大连海洋大学,4121010158,辽宁省,大连市,本科,,Dalian Ocean University,Dalian ocean university
中国医科大学,4121010159,辽宁省,沈阳市,本科,,China Medical University,China medical university
锦州医科大学,4121010160,辽宁省,锦州市,本科,,Jinzhou Medical University,Jinzhou medical college
大连医科大学,4121010161,辽宁省,大连市,本科,,dalian medical university,Dalian medical university
辽宁中医药大学,4121010162,辽宁省,沈阳市,本科,,Liaoning University of Traditional Chinese Medicine,Liaoning university of Chinese medicine
沈阳药科大学,4121010163,辽宁省,沈阳市,本科,,Shenyang Pharmaceutical University,Shenyang pharmaceutical university
沈阳医学院,4121010164,辽宁省,沈阳市,本科,,Shenyang Medical College,Shenyang medical college
辽宁师范大学,4121010165,辽宁省,大连市,本科,,Liaoning Normal University,Liaoning normal university.
沈阳师范大学,4121010166,辽宁省,沈阳市,本科,,Shenyang Normal University,Shenyang normal university.
渤海大学,4121010167,辽宁省,锦州市,本科,,Bohai University,Bohai university
鞍山师范学院,4121010169,辽宁省,鞍山市,本科,,Anshan Normal University,Anshan normal college
大连外国语大学,4121010172,辽宁省,大连市,本科,,Dalian University of Foreign Languages,Dalian university of foreign languages
东北财经大学,4121010173,辽宁省,大连市,本科,,Dongbei University of Finance and Economics,Northeast university of finance and economics
中国刑事警察学院,4121010175,公安部,沈阳市,本科,,Chinese Criminal Police Institute,China criminal police college
沈阳体育学院,4121010176,辽宁省,沈阳市,本科,,shenyang sport university,Shenyang sports institute
沈阳音乐学院,4121010177,辽宁省,沈阳市,本科,,shenyang conservatory of music,Shenyang music college
鲁迅美术学院,4121010178,辽宁省,沈阳市,本科,,luxun academy of fine arts,Lu xun academy of fine arts
辽宁对外经贸学院,4121010841,辽宁省教育厅,大连市,本科,民办,liaoning university of international business,Liaoning institute of foreign trade and economic
沈阳大学,4121011035,辽宁省,沈阳市,本科,,Shenyang University,Shenyang university
大连大学,4121011258,辽宁省,大连市,本科,,Dalian University,Dalian university
辽宁科技学院,4121011430,辽宁省,本溪市,本科,,Liaoning Institute of Science and Technology,Liaoning institute of science and technology
辽宁警察学院,4121011432,辽宁省,大连市,本科,,Liaoning Police College,Liaoning police academy
沈阳工程学院,4121011632,辽宁省,沈阳市,本科,,Shenyang Institute of Engineering,Shenyang institute of engineering
辽东学院,4121011779,辽宁省,丹东市,本科,,eastern liaoning university,Liaodong college
大连民族大学,4121012026,国家民委,大连市,本科,,Dalian Nationalities University,Dalian nationalities university
大连理工大学城市学院,4121013198,辽宁省教育厅,大连市,本科,民办,City College of Dalian University of Technology,Dalian university of technology city college
沈阳工业大学工程学院,4121013199,辽宁省教育厅,辽阳市,本科,民办,"College of Engineering, Shenyang University of Technology",Shenyang university of technology institute of engineering
沈阳航空航天大学北方科技学院,4121013200,辽宁省教育厅,沈阳市,本科,民办,"North College of Science and Technology, Shenyang University of Aeronautics and Astronautics",North of shenyang university of aeronautics and astronautics institute of science and technology
沈阳工学院,4121013201,辽宁省教育厅,沈阳市,本科,民办,Shenyang Institute of Technology,Shenyang institute of technology
大连工业大学艺术与信息工程学院,4121013203,辽宁省教育厅,大连市,本科,民办,"College of Art and Information Engineering, Dalian University of Technology",Dalian university of technology art and information engineering institute
大连科技学院,4121013207,辽宁省教育厅,大连市,本科,民办,Dalian Institute of Science and Technology,Dalian institute of technology
沈阳城市建设学院,4121013208,辽宁省教育厅,沈阳市,本科,民办,Shenyang City Construction College,Shenyang institute of urban construction
中国医科大学临床医药学院,4121013211,辽宁省教育厅,沈阳市,本科,民办,"School of Clinical Medicine, China Medical University","School of clinical medicine, China medical university"
大连医科大学中山学院,4121013212,辽宁省教育厅,大连市,本科,民办,"Zhongshan College, Dalian Medical University","Zhongshan university, dalian medical university"
锦州医科大学医疗学院,4121013213,辽宁省教育厅,锦州市,本科,民办,Medical College of Jinzhou Medical University,Jinzhou medical university medical college
辽宁师范大学海华学院,4121013215,辽宁省教育厅,沈阳市,本科,民办,"Haihua College, Liaoning Normal University",Haihua college of liaoning normal university
辽宁理工学院,4121013217,辽宁省教育厅,锦州市,本科,民办,Liaoning Institute of Technology,Liaoning institute of technology
大连财经学院,4121013218,辽宁省教育厅,大连市,本科,民办,Dalian Institute of Finance and Economics,Dalian institute of finance and economics
沈阳城市学院,4121013220,辽宁省教育厅,沈阳市,本科,民办,Shenyang City College,Shenyang city college
辽宁石油化工大学顺华能源学院,4121013583,辽宁省教育厅,抚顺市,本科,民办,"Shunhua College of Energy, Liaoning University of Petroleum and Chemical Technology",Liaoning university of petroleum and chemical college of energy resources of China
大连艺术学院,4121013599,辽宁省教育厅,大连市,本科,民办,Dalian Institute of Art,Art institute of dalian
辽宁中医药大学杏林学院,4121013609,辽宁省教育厅,沈阳市,本科,民办,"Xinglin College, Liaoning University of Traditional Chinese Medicine",Liaoning university of Chinese medicine institute of almond shaped
辽宁何氏医学院,4121013610,辽宁省教育厅,沈阳市,本科,民办,Liaoning He's Medical College,Ho in liaoning medical school
沈阳科技学院,4121013621,辽宁省教育厅,沈阳市,本科,民办,Shenyang Institute of Science and Technology,Shenyang institute of technology
大连东软信息学院,4121013631,辽宁省教育厅,大连市,本科,民办,Dalian East Soft Information Institute,Dalian neusoft institute of information
辽宁财贸学院,4121013900,辽宁省教育厅,葫芦岛市,本科,民办,Liaoning Institute of Finance and Trade,Liaoning institute of finance and trade
辽宁传媒学院,4121013957,辽宁省教育厅,沈阳市,本科,民办,Liaoning Media College,Liaoning institute of media
营口理工学院,4121014435,辽宁省,营口市,本科,,Yingkou Institute of Technology,Yingkou institute of technology
朝阳师范高等专科学校,4121010171,辽宁省,朝阳市,专科,,Chaoyang Teachers College,Chaoyang normal college
抚顺师范高等专科学校,4121010179,辽宁省,抚顺市,专科,,Fushun Teachers College,Fushun normal college
锦州师范高等专科学校,4121010180,辽宁省,锦州市,专科,,jinzhou teacher's training college,Jinzhou normal college
营口职业技术学院,4121010181,辽宁省,营口市,专科,,Yingkou Vocational and Technical College,Yingkou vocational and technical college
铁岭师范高等专科学校,4121010182,辽宁省,铁岭市,专科,,Tieling Teachers College,Tieling normal college
大连职业技术学院,4121010845,辽宁省,大连市,专科,,Dalian Vocational and Technical College,Dalian vocational technology college
辽宁农业职业技术学院,4121010957,辽宁省,营口市,专科,,liaoning agricultural college,Liaoning agricultural vocational and technical college
抚顺职业技术学院,4121011037,辽宁省,抚顺市,专科,,Fushun Vocational and Technical College,Fushun vocational and technical college
辽阳职业技术学院,4121011249,辽宁省,辽阳市,专科,,Liaoyang Vocational College of Technology,Liaoyang vocational and technical college
阜新高等专科学校,4121011250,辽宁省,阜新市,专科,,Fuxin College of Higher Education,Fuxin college
辽宁省交通高等专科学校,4121011500,辽宁省,沈阳市,专科,,Liaoning Provincial College of Communications,Traffic college in liaoning province
辽宁税务高等专科学校,4121011735,辽宁省,大连市,专科,,Liaoning Taxation College,Liaoning college of taxation
盘锦职业技术学院,4121012063,辽宁省,盘锦市,专科,,panjin vocational and technical college,Panjin vocational and technical college
沈阳航空职业技术学院,4121012590,辽宁省,沈阳市,专科,,Shanyang Aviation Vocational Technical College,Shenyang institute of technology of profession of aviation
辽宁体育运动职业技术学院,4121012591,辽宁省,沈阳市,专科,,Liaoning Sports Vocational and Technical College,Liaoning sports vocational and technical college
辽宁职业学院,4121012592,辽宁省,铁岭市,专科,,Liaoning Vocational College,Liaoning vocational college
辽宁林业职业技术学院,4121012593,辽宁省,沈阳市,专科,,Liaoning Forestry Vocational and Technical College,Liaoning forestry vocational and technical college
沈阳职业技术学院,4121012594,辽宁省,沈阳市,专科,,shenyang polytechnic college,Shenyang vocational and technical college
辽宁理工职业学院,4121012595,辽宁省教育厅,锦州市,专科,民办,Liaoning Polytechnic Vocational College,Liaoning vocational college of science and technology
大连商务职业学院,4121012730,辽宁省教育厅,大连市,专科,民办,dalian business institute,Dalian business vocational college
辽宁金融职业学院,4121012895,辽宁省,沈阳市,专科,,Liaoning financial Vocational College,Liaoning financial vocational college
辽宁轨道交通职业学院,4121012896,辽宁省,沈阳市,专科,,Liaoning Rail Transit Vocational College,Liaoning orbit transportation vocational college
辽宁广告职业学院,4121012897,辽宁省教育厅,沈阳市,专科,民办,Liaoning Advertising Vocational College,Advertising in liaoning vocational college
辽宁机电职业技术学院,4121012898,辽宁省,丹东市,专科,,liaoning jidian polytechnic,Liaoning mechanical and electrical professional technology institute
辽宁经济职业技术学院,4121012899,辽宁省,沈阳市,专科,,Liaoning Institute of Economics and Vocational Technology,Economy in liaoning vocational and technical college
辽宁石化职业技术学院,4121012900,辽宁省,锦州市,专科,,Liaoning Petrocchemical Vocational And Technology,Liaoning petrochemical vocational and technical college
渤海船舶职业学院,4121012931,辽宁省,葫芦岛市,专科,,Bohai Shipbuilding Vocational College,The bohai sea Marine vocational college
大连软件职业学院,4121013958,辽宁省教育厅,大连市,专科,民办,dalian software vocational college,Dalian software vocational college
大连翻译职业学院,4121013959,辽宁省教育厅,大连市,专科,民办,Dalian Vocational College of Translation,Dalian translation vocational college
辽宁商贸职业学院,4121013960,辽宁省,沈阳市,专科,,Liaoning Vocational College of Business,Liaoning vocational college of commerce
大连枫叶职业技术学院,4121013961,辽宁省教育厅,大连市,专科,民办,Dalian Maple Leaf Vocational and Technical College,Dalian maple leaf vocational and technical college
辽宁装备制造职业技术学院,4121014076,辽宁省,沈阳市,专科,,Liaoning Equipment Manufacturing Vocational and Technical College,Liaoning equipment manufacturing professional technology institute
辽河石油职业技术学院,4121014077,辽宁省,盘锦市,专科,,Liaohe Petroleum Vocational and Technical College,Liaohe petroleum vocational and technical college
辽宁地质工程职业学院,4121014106,辽宁省,丹东市,专科,,Liaoning Geology Engineering Vocational College,Liaoning geological engineering vocational college
辽宁铁道职业技术学院,4121014188,辽宁省,锦州市,专科,,Liaoning Railway Vocational and Technical College,Liaoning railway vocational and technical college
辽宁建筑职业学院,4121014189,辽宁省,辽阳市,专科,,Liaoning Vocational College of Architecture,Liaoning construction vocational college
大连航运职业技术学院,4121014209,辽宁省教育厅,大连市,专科,民办,Dalian Shipping Vocational and Technical College,Dalian shipping vocational and technical college
大连装备制造职业技术学院,4121014227,辽宁省教育厅,大连市,专科,民办,Dalian Equipment Manufacturing Vocational and Technical College,Dalian equipment manufacturing professional technology institute
大连汽车职业技术学院,4121014228,辽宁省教育厅,大连市,专科,民办,Dalian Automobile Vocational and Technical College,Dalian auto vocational and technical college
辽宁现代服务职业技术学院,4121014240,辽宁省,沈阳市,专科,,Liaoning Modern Service Vocational and Technical College,Modern service in liaoning vocational and technical college
辽宁冶金职业技术学院,4121014286,辽宁省,本溪市,专科,,Liaoning Metallurgical Vocational and Technical College,Liaoning metallurgical vocational and technical college
辽宁工程职业学院,4121014287,辽宁省,铁岭市,专科,,Liaoning Vocational College of Engineering,Liaoning engineering vocational college
辽宁城市建设职业技术学院,4121014288,辽宁省,沈阳市,专科,,Liaoning City Construction Vocational and Technical College,Liaoning urban construction vocational and technical college
辽宁医药职业学院,4121014289,辽宁省,沈阳市,专科,,Liaoning Medical Vocational College,Liaoning medical vocational college
铁岭卫生职业学院,4121014290,辽宁省,铁岭市,专科,,Tieling Vocational College of Health,Tieling health vocational college
沈阳北软信息职业技术学院,4121014385,辽宁省教育厅,沈阳市,专科,民办,Shenyang North Soft Information Vocational and Technical College,Shenyang north soft information professional technology institute
辽宁政法职业学院,4121014398,辽宁省,沈阳市,专科,,Liaoning Vocational College of Politics and Law,Liaoning vocational college of politics and law
辽宁民族师范高等专科学校,4121014464,辽宁省,沈阳市,专科,,Liaoning Normal College for Nationalities,Liaoning national normal college
辽宁轻工职业学院,4121014473,辽宁省,大连市,专科,,Liaoning Light Industry Vocational College,Liaoning province light industry vocational college
辽宁水利职业学院,4121014474,辽宁省,沈阳市,专科,,Liaoning Water Conservancy Vocational College,Liaoning province water conservancy vocational college
辽宁特殊教育师范高等专科学校,4121014526,辽宁省,沈阳市,专科,,Liaoning Teachers'College of Special Education,Liaoning province special education teachers
吉林大学,4122010183,教育部,长春市,本科,,Jilin University,Jilin university
延边大学,4122010184,吉林省,延边朝鲜族自治州,本科,,Yanbian University,Yanbian university
长春理工大学,4122010186,吉林省,长春市,本科,,changchun university of science and technology,Changchun university of science and technology
东北电力大学,4122010188,吉林省,吉林市,本科,,Northeast Electric Power University,Northeast electric power university
长春工业大学,4122010190,吉林省,长春市,本科,,Changchun University of Technology,Changchun university of technology
吉林建筑大学,4122010191,吉林省,长春市,本科,,Jilin University of Architecture,Jilin construction university
吉林化工学院,4122010192,吉林省,吉林市,本科,,Jilin Institute of Chemical Technology,Jilin institute of chemical industry
吉林农业大学,4122010193,吉林省,长春市,本科,,Jilin Agricultural University,Jilin agricultural university
长春中医药大学,4122010199,吉林省,长春市,本科,,changchun university of chinese medicine,Changchun university of Chinese medicine
东北师范大学,4122010200,教育部,长春市,本科,,Northeast Normal University,The northeast normal university.
北华大学,4122010201,吉林省,吉林市,本科,,Beihua University,University of north China
通化师范学院,4122010202,吉林省,通化市,本科,,tonghua normal university,Tonghua normal university
吉林师范大学,4122010203,吉林省,四平市,本科,,Jilin Normal University,Jilin normal university.
吉林工程技术师范学院,4122010204,吉林省,长春市,本科,,Jilin Normal College of Engineering Technology,Jilin engineering technical teachers college
长春师范大学,4122010205,吉林省,长春市,本科,,changchun normal university,Changchun normal university.
白城师范学院,4122010206,吉林省,白城市,本科,,baicheng normal university,Baicheng normal college
吉林财经大学,4122010207,吉林省,长春市,本科,,Changchun Taxation College,Jilin university of finance and economics
吉林体育学院,4122010208,吉林省,长春市,本科,,Jilin Institute of physical Education,Jilin institute of sport
吉林艺术学院,4122010209,吉林省,长春市,本科,,Jilin College of the arts,Jilin college of art
吉林华桥外国语学院,4122010964,吉林省教育厅,长春市,本科,民办,Jilin Huaqiao Foreign Languages Institute,Huaqiao foreign languages institute
吉林工商学院,4122011261,吉林省,长春市,本科,,Jilin Business College,Jilin college of industry and commerce
长春工程学院,4122011437,吉林省,长春市,本科,,Changchun Institute of Engineering,Changchun college of engineering
吉林农业科技学院,4122011439,吉林省,吉林市,本科,,agriculture science and technology college,Jilin institute of agricultural science and technology
吉林警察学院,4122011441,吉林省,长春市,本科,,jilin police college,Jilin police academy
长春大学,4122011726,吉林省,长春市,本科,,changchun university,Changchun university
长春光华学院,4122013600,吉林省教育厅,长春市,本科,民办,Changchun Guanghua College,Changchun guanghua school
长春工业大学人文信息学院,4122013601,吉林省教育厅,长春市,本科,民办,"College of Humanities and Information, Changchun University of Technology",Changchun industrial university humanities institute of information
长春理工大学光电信息学院,4122013602,吉林省教育厅,长春市,本科,民办,"College of Photoelectric Information, Changchun University of Technology",Changchun university of science and technology of photoelectric information institute
长春财经学院,4122013603,吉林省教育厅,长春市,本科,民办,Changchun Institute of Finance and Economics,Changchun institute of finance and economics
吉林建筑大学城建学院,4122013604,吉林省教育厅,长春市,本科,民办,"College of Urban Construction, Jilin University of Architecture",Jilin construction university institute of urban construction
长春建筑学院,4122013605,吉林省教育厅,长春市,本科,民办,Changchun Institute of Architecture,Changchun institute of construction
长春科技学院,4122013606,吉林省教育厅,长春市,本科,民办,Changchun Institute of Science and Technology,Changchun institute of technology
吉林动画学院,4122013607,吉林省教育厅,长春市,本科,民办,jilin animation institute,Jilin animation college
吉林师范大学博达学院,4122013622,吉林省教育厅,四平市,本科,民办,Boda College of Jilin Normal University,Boda college of jilin normal university
长春大学旅游学院,4122013623,吉林省教育厅,长春市,本科,民办,"College of Tourism, Changchun University",Changchun university institute of tourism
东北师范大学人文学院,4122013662,吉林省教育厅,长春市,本科,民办,"College of Humanities, Northeast Normal University",Northeast normal university humanities college
吉林医药学院,4122013706,吉林省,吉林市,本科,,Jilin Medical College,Jilin medical college
长春师范高等专科学校,3622000335,吉林省,长春市,专科,,Changchun Normal College,Changchun normal college
辽源职业技术学院,4122010847,吉林省,辽源市,专科,,Liaoyuan Vocational and Technical College,Long-withering vocational and technical college
四平职业大学,4122011044,吉林省,四平市,专科,,Siping Professional College,Siping vocational college
长春汽车工业高等专科学校,4122011436,吉林省,长春市,专科,,Changchun Automobile Industry Institute,Changchun automobile industry college
长春金融高等专科学校,4122011440,吉林省,长春市,专科,,Changchun Finance College,Changchun financial college
长春医学高等专科学校,4122011823,吉林省,长春市,专科,,Changchun Medical College,Changchun college of medicine
吉林交通职业技术学院,4122012049,吉林省,长春市,专科,,jilin communications polytechnic,Jilin traffic vocational and technical college
长春东方职业学院,4122012306,吉林省教育厅,长春市,专科,民办,Changchun Oriental Vocational College,Changchun Oriental vocational college
吉林司法警官职业学院,4122012901,吉林省,长春市,专科,,Jilin Judicial Police Officer Vocational College,Jilin judicial police vocational college
吉林电子信息职业技术学院,4122012902,吉林省,吉林市,专科,,jilin technology college of electronic information,Jilin electronic information vocational technology college
吉林工业职业技术学院,4122012903,吉林省,吉林市,专科,,Jilin Industrial Vocational and Technical College,Jilin industry professional technology institute
吉林工程职业学院,4122012904,吉林省,四平市,专科,,Jilin Vocational College of Engineering,Jilin engineering vocational college
长春职业技术学院,4122013161,吉林省,长春市,专科,,changchun vocational institute of technology,Changchun vocational and technical college
白城医学高等专科学校,4122013743,吉林省,白城市,专科,,Baicheng Medical College,Baicheng medical college
长春信息技术职业学院,4122013916,吉林省教育厅,长春市,专科,民办,changchun information technology college,Changchun institute of information technology professional
松原职业技术学院,4122013917,吉林省,松原市,专科,,Songyuan Vocational and Technical College,Matsubara vocational and technical college
吉林铁道职业技术学院,4122014052,吉林省,吉林市,专科,,Jilin Railway Vocational and Technical College,Jilin railway vocational and technical college
白城职业技术学院,4122014107,吉林省,白城市,专科,,Baicheng Vocational and Technical College,Baicheng vocational and technical college
长白山职业技术学院,4122014190,吉林省,白山市,专科,,Changbaishan Vocational and Technical College,Changbai mountain vocational and technical college
吉林科技职业技术学院,4122014291,吉林省教育厅,长春市,专科,民办,Jilin Vocational and Technical College of Science and Technology,Jilin science and technology professional technology institute
延边职业技术学院,4122014340,吉林省,延边朝鲜族自治州,专科,,Yanbian Vocational and Technical College,Yanbian vocational and technical college
